tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
RT @RiverdaleRefer1: They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,0,7,2021-03-03 00:27:19,1366908008517619712,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['way', 'looks', 'jeronica', 'riverdale']",way looks jeronica riverdale
RT @LaBella_Aria: I love the bickering between Cami and Cole! On screen or off these 2 are great together #jeronica #Riverdale #vughead htt…,False,en,0,2,2021-03-03 00:27:05,1366907947293552642,"{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.8622}","['love', 'bickering', 'cami', 'cole', 'screen', '2', 'great', 'together', 'jeronica', 'riverdale', 'vughead', 'htt']",love bickering cami cole screen 2 great together jeronica riverdale vughead htt
"RT @shereeniha: As much as I like Varchie, I adore the idea of Vughead (or is it Jeronica?) more. And hoping that plot twist will actually…",False,en,0,2,2021-03-03 00:24:29,1366907294412374017,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.8473}","['much', 'like', 'varchie', 'adore', 'idea', 'vughead', 'jeronica', 'hoping', 'plot', 'twist', 'actually']",much like varchie adore idea vughead jeronica hoping plot twist actually
@slowburnsftw I was just thinking this! “I’ve known for awhile” or when them hook up comes to light he actually saw something of Bettys or her leave As house while coming home or literally anything like that 🙌🏻 Game for jeronica to be on board the Barchie train,False,en,7,0,2021-03-02 17:16:56,1366799696329646083,"{'neg': 0.024, 'neu': 0.919, 'pos': 0.057, 'compound': 0.3802}","['thinking', 'known', 'awhile', 'hook', 'comes', 'light', 'actually', 'saw', 'something', 'bettys', 'leave', 'house', 'coming', 'home', 'literally', 'anything', 'like', 'game', 'jeronica', 'board', 'barchie', 'train']",thinking known awhile hook comes light actually saw something bettys leave house coming home literally anything like game jeronica board barchie train
"Jeronica is cursed, I don’t ship anymore https://t.co/WOOMRDOqLA",False,en,3,0,2021-03-02 16:40:12,1366790453044129792,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['jeronica', 'cursed', 'ship', 'anymore']",jeronica cursed ship anymore
i’ve been a varchie jeronica and a jarchie and this is like if all that morphed into one single edit,False,en,0,0,2021-03-02 16:38:34,1366790040672739330,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}","['varchie', 'jeronica', 'jarchie', 'like', 'morphed', 'one', 'single', 'edit']",varchie jeronica jarchie like morphed one single edit
Ohh I realized that post was by a jeronica fanpage 😭,False,en,3,0,2021-03-02 16:18:27,1366784978483372032,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['ohh', 'realized', 'post', 'jeronica', 'fanpage']",ohh realized post jeronica fanpage
veronica and jughead future yale classmates? come on jeronica endgame,False,en,1,0,2021-03-02 15:03:38,1366766149954916354,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['veronica', 'jughead', 'future', 'yale', 'classmates', 'come', 'jeronica', 'endgame']",veronica jughead future yale classmates come jeronica endgame
"@rtalalay omg, Jeronica please😭😭😭 https://t.co/iRqkv4RToZ",False,en,0,0,2021-03-02 14:27:47,1366757130095767556,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['omg', 'jeronica', 'please']",omg jeronica please
RT @veronicacelias: The world if Jeronica gets TWO one on one scenes this season https://t.co/uBYJX5df6p,False,en,0,7,2021-03-02 12:27:58,1366726974991958019,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['world', 'jeronica', 'gets', 'two', 'one', 'one', 'scenes', 'season']",world jeronica gets two one one scenes season
@beeslahey jeronica could live together cus of the fire 🤭🤭,False,en,0,0,2021-03-02 08:49:33,1366672009028059138,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}","['jeronica', 'could', 'live', 'together', 'cus', 'fire']",jeronica could live together cus fire
i just had a dream about rvd’s key party or whatever that’s called and it seemed so real omg the two unexpected kisses were jeronica and choni i hope i manifested it lmao,False,en,0,0,2021-03-02 08:10:17,1366662128275447808,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.93}","['dream', 'rvd', 'key', 'party', 'whatever', 'called', 'seemed', 'real', 'omg', 'two', 'unexpected', 'kisses', 'jeronica', 'choni', 'hope', 'manifested', 'lmao']",dream rvd key party whatever called seemed real omg two unexpected kisses jeronica choni hope manifested lmao
Not Zumpie shipping Jabitha………… who’s gonna tell her they’re what Jeronica would have been if given a chance lol,False,en,1,0,2021-03-02 02:52:15,1366582093166243846,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5859}","['zumpie', 'shipping', 'jabitha', 'gonna', 'tell', 'jeronica', 'would', 'given', 'chance', 'lol']",zumpie shipping jabitha gonna tell jeronica would given chance lol
@lilicamifan jeronica i think,False,en,1,0,2021-03-01 23:37:26,1366533065779085312,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['jeronica', 'think']",jeronica think
RT @claire39458517: Why are the riverdale writers so scary to let Jughead and Veronica interact?? The time jump + Barchie was the perfect t…,False,en,0,1,2021-03-01 18:31:51,1366456163043209216,"{'neg': 0.153, 'neu': 0.72, 'pos': 0.127, 'compound': -0.1965}","['riverdale', 'writers', 'scary', 'let', 'jughead', 'veronica', 'interact', 'time', 'jump', 'barchie', 'perfect']",riverdale writers scary let jughead veronica interact time jump barchie perfect
The world if Jeronica gets TWO one on one scenes this season https://t.co/uBYJX5df6p,False,en,29,7,2021-03-01 18:30:03,1366455712294064134,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['world', 'jeronica', 'gets', 'two', 'one', 'one', 'scenes', 'season']",world jeronica gets two one one scenes season
@sadfeelingshavr literally same like fp and hiram enemies to lovers when... if i can’t have jeronica i will have them,False,en,2,0,2021-03-01 17:30:18,1366440674103541760,"{'neg': 0.133, 'neu': 0.622, 'pos': 0.245, 'compound': 0.4019}","['literally', 'like', 'fp', 'hiram', 'enemies', 'lovers', 'jeronica']",literally like fp hiram enemies lovers jeronica
"@bjrchies beggie is a comic thing, they have even less interactions than jeronica wtf",False,en,1,0,2021-03-01 17:03:06,1366433828936507394,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.5859}","['beggie', 'comic', 'thing', 'even', 'less', 'interactions', 'jeronica', 'wtf']",beggie comic thing even less interactions jeronica wtf
jeronica both have hot dads this is how we can still win,False,en,1,0,2021-03-01 16:48:24,1366430127928856576,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.5859}","['jeronica', 'hot', 'dads', 'still', 'win']",jeronica hot dads still win
RT @bugverchoni: if u wrote in jeronica barchie or bughead into the gay ship awards why are u homophobic😭,False,en,0,1,2021-03-01 16:03:36,1366418854067376135,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4588}","['u', 'wrote', 'jeronica', 'barchie', 'bughead', 'gay', 'ship', 'awards', 'u', 'homophobic']",u wrote jeronica barchie bughead gay ship awards u homophobic
so tempted to write a jeronica au where fbi agent jughead jones goes undercover to uproot a crime syndicate and falls in love with the crime boss daughter veronica lodge,False,en,1,0,2021-03-01 13:51:52,1366385703475552262,"{'neg': 0.193, 'neu': 0.691, 'pos': 0.116, 'compound': -0.4215}","['tempted', 'write', 'jeronica', 'au', 'fbi', 'agent', 'jughead', 'jones', 'goes', 'undercover', 'uproot', 'crime', 'syndicate', 'falls', 'love', 'crime', 'boss', 'daughter', 'veronica', 'lodge']",tempted write jeronica au fbi agent jughead jones goes undercover uproot crime syndicate falls love crime boss daughter veronica lodge
"@ifyoutrustme jeronica bonding over their love for archie is literally so true remember when jughead said ""if you keep this up you are gonna need a superhero name like Pureheart the Powerful"" and then ronnie remembered it and said ""you archie are Pureheart the Powerful"" HERES HOW WE CAN WIN",False,en,1,0,2021-03-01 13:24:22,1366378781678698497,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.9659}","['jeronica', 'bonding', 'love', 'archie', 'literally', 'true', 'remember', 'jughead', 'said', 'keep', 'gonna', 'need', 'superhero', 'name', 'like', 'pureheart', 'powerful', 'ronnie', 'remembered', 'said', 'archie', 'pureheart', 'powerful', 'heres', 'win']",jeronica bonding love archie literally true remember jughead said keep gonna need superhero name like pureheart powerful ronnie remembered said archie pureheart powerful heres win
"RT @BarrosEsquerdo: @rtalalay I really wanted something to happen between Jugh and Veronica in this episode! But the ""unexpected"" kiss will…",False,en,0,1,2021-03-01 02:56:32,1366220781844377600,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.4753}","['really', 'wanted', 'something', 'happen', 'jugh', 'veronica', 'episode', 'unexpected', 'kiss']",really wanted something happen jugh veronica episode unexpected kiss
RT @victoria106__: @RiverdaleRefer1 Why is the Vughead/Jeronica fandom so funny doe 😭 that was literally me in season 3 💀 seriously tho I n…,False,en,0,1,2021-03-01 02:55:29,1366220519637417990,"{'neg': 0.073, 'neu': 0.768, 'pos': 0.16, 'compound': 0.4663}","['vughead', 'jeronica', 'fandom', 'funny', 'doe', 'literally', 'season', '3', 'seriously', 'tho', 'n']",vughead jeronica fandom funny doe literally season 3 seriously tho n
RT @victoria106__: @WriterRAS i’m gonna need some Jeronica/Vughead scenes tbh 😗,False,en,0,1,2021-03-01 02:55:26,1366220505410392067,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['gonna', 'need', 'jeronica', 'vughead', 'scenes', 'tbh']",gonna need jeronica vughead scenes tbh
RT @cherryplushies: @CW_Riverdale Good morning give me some more Jeronica crumbs :) https://t.co/LxKmIqH048,False,en,0,4,2021-03-01 02:01:00,1366206807635611650,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.7322}","['good', 'morning', 'give', 'jeronica', 'crumbs']",good morning give jeronica crumbs
"people be shipping jeronica- bye the only core 4 ships allowed are bughead, varchie, beronica and jarchie and thats final.",False,en,0,0,2021-03-01 01:56:52,1366205768291221511,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['people', 'shipping', 'jeronica', 'bye', 'core', '4', 'ships', 'allowed', 'bughead', 'varchie', 'beronica', 'jarchie', 'thats', 'final']",people shipping jeronica bye core 4 ships allowed bughead varchie beronica jarchie thats final
@RiverdaleRefer1 Why is the Vughead/Jeronica fandom so funny doe 😭 that was literally me in season 3 💀 seriously tho I need more scenes of them 🤡✌🏻,False,en,4,1,2021-03-01 01:45:57,1366203021785448453,"{'neg': 0.064, 'neu': 0.794, 'pos': 0.141, 'compound': 0.4663}","['vughead', 'jeronica', 'fandom', 'funny', 'doe', 'literally', 'season', '3', 'seriously', 'tho', 'need', 'scenes']",vughead jeronica fandom funny doe literally season 3 seriously tho need scenes
@WriterRAS i’m gonna need some Jeronica/Vughead scenes tbh 😗,False,en,3,1,2021-03-01 01:43:15,1366202339678433283,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['gonna', 'need', 'jeronica', 'vughead', 'scenes', 'tbh']",gonna need jeronica vughead scenes tbh
RT @LaBella_Aria: Omg I never noticed her thumb caressing his 😍😍😍💕💕 #jeronica #Riverdale #vughead,True,en,0,1,2021-03-01 01:20:25,1366196595298099201,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['omg', 'never', 'noticed', 'thumb', 'caressing', 'jeronica', 'riverdale', 'vughead']",omg never noticed thumb caressing jeronica riverdale vughead
RT @RiverdaleRefer1: Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,0,1,2021-03-01 01:19:21,1366196326770241537,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['everytime', 'jeronica']",everytime jeronica
@rtalalay Pls let it be Jeronica! It's not but a girl can wish! 😭,False,en,0,0,2021-03-01 01:18:05,1366196009043451910,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.6467}","['pls', 'let', 'jeronica', 'girl', 'wish']",pls let jeronica girl wish
RT @Shivranjaniii: #Jeronica needs a chance https://t.co/HfIfg3qkSZ,False,en,0,3,2021-03-01 01:12:39,1366194639162781697,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.25}","['jeronica', 'needs', 'chance']",jeronica needs chance
TIME #jeronica https://t.co/S0snYETNhE,False,en,7,0,2021-03-01 00:51:02,1366189201876791301,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['time', 'jeronica']",time jeronica
DAMN #jeronica https://t.co/UlOot7nPbe,False,en,5,0,2021-03-01 00:51:00,1366189191047086088,"{'neg': 0.632, 'neu': 0.368, 'pos': 0.0, 'compound': -0.5319}","['damn', 'jeronica']",damn jeronica
Everytime #jeronica https://t.co/BW7Lgjw84g,False,en,7,1,2021-03-01 00:50:55,1366189170125905922,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['everytime', 'jeronica']",everytime jeronica
They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,30,7,2021-03-01 00:50:52,1366189159627567115,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['way', 'looks', 'jeronica', 'riverdale']",way looks jeronica riverdale
RT @ShellyLahey: I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,0,2,2021-03-01 00:18:01,1366180889189842947,"{'neg': 0.123, 'neu': 0.411, 'pos': 0.467, 'compound': 0.8272}","['bored', 'enjoy', 'lovely', 'jeronica']",bored enjoy lovely jeronica
if u wrote in jeronica barchie or bughead into the gay ship awards why are u homophobic😭,False,en,30,1,2021-02-28 23:53:33,1366174732890959872,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}","['u', 'wrote', 'jeronica', 'barchie', 'bughead', 'gay', 'ship', 'awards', 'u', 'homophobic']",u wrote jeronica barchie bughead gay ship awards u homophobic
"@rtalalay I really wanted something to happen between Jugh and Veronica in this episode! But the ""unexpected"" kiss will probably not be theirs. It is difficult to like Jeronica, when we know that they both have a lot of chemistry and the writers waste it. But we cannot have expectations https://t.co/xrZG6noSqu",False,en,11,1,2021-02-28 23:30:43,1366168988573708291,"{'neg': 0.095, 'neu': 0.809, 'pos': 0.095, 'compound': 0.0}","['really', 'wanted', 'something', 'happen', 'jugh', 'veronica', 'episode', 'unexpected', 'kiss', 'probably', 'difficult', 'like', 'jeronica', 'know', 'lot', 'chemistry', 'writers', 'waste', 'cannot', 'expectations']",really wanted something happen jugh veronica episode unexpected kiss probably difficult like jeronica know lot chemistry writers waste cannot expectations
"@rtalalay Jeronica should happen, the fandom needs this @rtalalay @WriterRAS !!!!",False,en,2,0,2021-02-28 23:12:19,1366164358477283329,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['jeronica', 'happen', 'fandom', 'needs']",jeronica happen fandom needs
I was very bored so enjoy my lovely Jeronica’s!! https://t.co/tBrkpTT1vO,False,en,28,2,2021-02-28 22:10:19,1366148754517020673,"{'neg': 0.137, 'neu': 0.343, 'pos': 0.52, 'compound': 0.8272}","['bored', 'enjoy', 'lovely', 'jeronica']",bored enjoy lovely jeronica
omggg please be a Jeronica!! 😳 #jeronica #vughead https://t.co/fp1GZBORDU https://t.co/2vsFZa5LEk,True,en,7,0,2021-02-28 21:34:26,1366139723702534145,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.4374}","['omggg', 'please', 'jeronica', 'jeronica', 'vughead']",omggg please jeronica jeronica vughead
@rtalalay please be Jeronica omgggg!!!,False,en,3,0,2021-02-28 21:30:10,1366138651537727492,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.4898}","['please', 'jeronica', 'omgggg']",please jeronica omgggg
Please let one of those kisses be #jeronica #Riverdale #vughead https://t.co/s5xmLvY5bM,True,en,7,0,2021-02-28 21:19:28,1366135956382781440,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.6808}","['please', 'let', 'one', 'kisses', 'jeronica', 'riverdale', 'vughead']",please let one kisses jeronica riverdale vughead
even jeronica kissing isnt that bad. I just hate barchie,False,en,1,0,2021-02-28 20:23:01,1366121753013932037,"{'neg': 0.228, 'neu': 0.369, 'pos': 0.403, 'compound': 0.431}","['even', 'jeronica', 'kissing', 'isnt', 'bad', 'hate', 'barchie']",even jeronica kissing isnt bad hate barchie
WAIT WAIT- WHAT IF JERONICA??? https://t.co/ivNs8Dgkx3,True,en,9,0,2021-02-28 20:13:46,1366119423388639232,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['wait', 'wait', 'jeronica']",wait wait jeronica
@milfyswift cole and camila apart of the jeronica friendship community confirmed! i rlly think the writers are wasting their potential by never having them interact. they could be so fun to watch and also have sweeter moments where they bond over their parents and how they shaped their lives,False,en,6,0,2021-02-28 18:49:19,1366098170942533634,"{'neg': 0.049, 'neu': 0.816, 'pos': 0.135, 'compound': 0.694}","['cole', 'camila', 'apart', 'jeronica', 'friendship', 'community', 'confirmed', 'rlly', 'think', 'writers', 'wasting', 'potential', 'never', 'interact', 'could', 'fun', 'watch', 'also', 'sweeter', 'moments', 'bond', 'parents', 'shaped', 'lives']",cole camila apart jeronica friendship community confirmed rlly think writers wasting potential never interact could fun watch also sweeter moments bond parents shaped lives
here's how there's still time for jeronica to be friends instead of acquaintances after five seasons i will try to be brief,False,en,8,0,2021-02-28 18:33:37,1366094218461138948,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.4767}","['still', 'time', 'jeronica', 'friends', 'instead', 'acquaintances', 'five', 'seasons', 'try', 'brief']",still time jeronica friends instead acquaintances five seasons try brief
its funny that jeronicas exist and i know they exist but i have never encountered one please follow me im not a jeronica but i love them immensely and love to talk abt the implications of time skip jughead and veronica at all times,False,en,10,0,2021-02-28 18:32:08,1366093845268676609,"{'neg': 0.233, 'neu': 0.727, 'pos': 0.039, 'compound': -0.8909}","['funny', 'jeronicas', 'exist', 'know', 'exist', 'never', 'encountered', 'one', 'please', 'follow', 'im', 'jeronica', 'love', 'immensely', 'love', 'talk', 'abt', 'implications', 'time', 'skip', 'jughead', 'veronica', 'times']",funny jeronicas exist know exist never encountered one please follow im jeronica love immensely love talk abt implications time skip jughead veronica times
jeronica X deep end https://t.co/tEyP6rIVsa,False,en,0,0,2021-02-28 18:25:06,1366092077805764615,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['jeronica', 'x', 'deep', 'end']",jeronica x deep end
jeronica X fire on fire https://t.co/PUM6JAhRaw,False,en,0,0,2021-02-28 18:25:06,1366092075821903874,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.5859}","['jeronica', 'x', 'fire', 'fire']",jeronica x fire fire
RT @ifyoutrustme: jugtabitharonnie trio where veronica and tabitha connect over their struggle in trying to decide if they’re pops girls or…,False,en,0,1,2021-02-28 18:01:46,1366086202659602433,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.3182}","['jugtabitharonnie', 'trio', 'veronica', 'tabitha', 'connect', 'struggle', 'trying', 'decide', 'pops', 'girls']",jugtabitharonnie trio veronica tabitha connect struggle trying decide pops girls
"RT @BarrosEsquerdo: @victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,0,1,2021-02-28 17:51:48,1366083697108279301,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.7964}","['hope', 'said', 'truth', 'good', 'sense', 'fandom', 'jeronica']",hope said truth good sense fandom jeronica
RT @ifyoutrustme: the bechdel test but it’s jeronica having a conversation that isn’t about betty or archie,False,en,0,1,2021-02-28 17:29:55,1366078190003707907,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['bechdel', 'test', 'jeronica', 'conversation', 'betty', 'archie']",bechdel test jeronica conversation betty archie
@CW_Riverdale Good morning give me some more Jeronica crumbs :) https://t.co/LxKmIqH048,False,en,20,4,2021-02-28 17:02:11,1366071209474031624,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.7322}","['good', 'morning', 'give', 'jeronica', 'crumbs']",good morning give jeronica crumbs
"this is how we got stuck with literally the worst ships in teen tv history on rvd for four seasons. now imagine if barchie, veggie or jeronica were the main couples from the start? the show seems better doesn’t it? https://t.co/Im8jUgivUX",False,en,2,0,2021-02-28 17:01:59,1366071159444426755,"{'neg': 0.136, 'neu': 0.802, 'pos': 0.061, 'compound': -0.5514}","['got', 'stuck', 'literally', 'worst', 'ships', 'teen', 'tv', 'history', 'rvd', 'four', 'seasons', 'imagine', 'barchie', 'veggie', 'jeronica', 'main', 'couples', 'start', 'show', 'seems', 'better']",got stuck literally worst ships teen tv history rvd four seasons imagine barchie veggie jeronica main couples start show seems better
"@victoria106__ If Ted said we would have more scenes of J and V! Why do they insist on recording Vachie scenes?  It is useless for them to continue to insist on these couples. @WriterRAS  Jeronica has so much potential! And you are wasting it. I say again, this is not what we want. https://t.co/3HeMAYgAwi",False,en,1,0,2021-02-28 16:51:25,1366068501425893380,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.7435}","['ted', 'said', 'would', 'scenes', 'j', 'v', 'insist', 'recording', 'vachie', 'scenes', 'useless', 'continue', 'insist', 'couples', 'jeronica', 'much', 'potential', 'wasting', 'say', 'want']",ted said would scenes j v insist recording vachie scenes useless continue insist couples jeronica much potential wasting say want
"@victoria106__ @imaginebarchie I hope he said a truth in a good sense, for the fandom Jeronica https://t.co/8YhuVpNCGO",False,en,4,1,2021-02-28 16:43:11,1366066430249213953,"{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.7964}","['hope', 'said', 'truth', 'good', 'sense', 'fandom', 'jeronica']",hope said truth good sense fandom jeronica
